Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

quest_WhiteRiverCitizen0_name,Quest,Quest Info,,,"Prepper Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_subtitle,Quest,Quest Info,,,"Prepper Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_description,Quest,Quest Info,,,"Welcome back Prepper!\n\nWe thought we'd lost you there for a moment, but you survived. Complete the Starting Challenges to be directed to Trader Rekt. There are a number of Prepper Quests in your toolbelt to read. Challenges and Prepper Quests will periodically overlap, but they all count.\n\nYour kindred souls were prepared for the 'event', and even survived the aftermath, but this afterwards can be testy.",,"Willkommen zurück, Prepper!\n\nWir dachten, wir hätten dich für einen Moment verloren, aber du hast überlebt. Schließe die Startherausforderungen ab, um zu Trader Rekt weitergeleitet zu werden. In deinem Werkzeuggürtel befinden sich eine Reihe von Prepper-Quests, die du lesen kannst. Herausforderungen und Prepper-Quests überschneiden sich gelegentlich, aber sie zählen alle.\n\nDeine Seelenverwandten waren auf das 'Ereignis' vorbereitet und haben sogar die Folgen überlebt, aber das kann danach echt anstrengend sein.",,,,,,,,,,,
quest_WhiteRiverCitizen0_description_title,Journal Tip,,,,Prepper Startpoint,,Prepper-Startpunkt,,,,,,,,,,,

quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Nicely done Prepper. We expected no less. Accept this 7 Skill Point reward.\n\nWe have marked your map with the location of a Trader where you can begin again.\n\nWelcome to the Preppocalypse.",,"Gut gemacht, Prepper. Wir haben nichts anderes erwartet. Akzeptieren Sie diese 7 Skillpunkte-Belohnung.\n\nWir haben auf deiner Karte den Standort eines Händlers markiert, bei dem du wieder anfangen kannst.\n\nWillkommen in der Preppocalypse.",,,,,,,,,,,
PreppocalypseStarterKit,items,item,,,Preppocalypse Starter Kit,,Preppocalypse Starter Kit,,,,,,,,,,,
PreppocalypseStarterKitDesc,items,item,,,"This will ease you back into the Preppocalypse, and set you back on your path.",,"Dies wird Sie zurück in die Preppocalypse führen und Sie auf Ihren Weg zurückbringen.",,,,,,,,,,,

